lat,lon,type,fee,name
44.4114,-123.9115,slipway,no,
45.622,-122.0201,marina,yes,Beacon Rock Moorage
45.6322,-120.9129,slipway,no,
44.5475,-121.2792,slipway,no,
44.435,-120.3374,slipway,no,
45.6603,-123.93,slipway,no,
43.9307,-124.1092,slipway,no,Cleawox Lake Boat Ramp
44.3767,-117.2376,slipway,no,
44.136,-120.6932,slipway,no,
43.1746,-124.199,slipway,no,Sturdivant Park Boat Ramp
43.9978,-116.9601,slipway,no,
45.6136,-123.2457,slipway,no,
44.6284,-124.0548,pier,no,Abbey Street Pier
44.7699,-117.069,slipway,no,
44.7594,-117.1229,slipway,no,
44.7558,-117.1316,slipway,no,
45.2539,-116.6963,slipway,no,Hells Canyon Creek Boat Launch
45.7181,-121.789,slipway,no,Home Valley
45.6936,-121.7734,slipway,no,
43.0992,-117.3303,slipway,no,
43.5499,-121.9648,slipway,no,
43.3217,-117.3256,slipway,no,
43.611,-117.2562,slipway,no,
43.6161,-117.2558,slipway,no,
44.5193,-122.8915,slipway,no,
43.2817,-123.3563,slipway,no,
45.7168,-121.5264,slipway,no,Windsurf launch
43.63,-122.0499,slipway,no,Gold Lake Boat Launch
45.2993,-121.0182,slipway,no,Pine Tree Boat Launch
45.3926,-120.8809,slipway,no,Macks Canyon Boat Launch
45.3365,-120.9469,slipway,no,Beavertail Boat Launch
45.1337,-121.1216,slipway,no,Harpham Flat Boat Launch
45.1269,-121.1294,slipway,no,Longbend Boat Launch
45.2673,-121.0191,slipway,no,Buckhollow Boat Launch
45.2403,-121.0491,slipway,no,Sandy Beach Boat Launch
43.7167,-123.057,slipway,no,
44.9908,-123.0547,slipway,no,Keizer Rapids Park Boat Ramp
42.9974,-120.7499,slipway,no,
43.8656,-117.0059,ferry,no,
43.8663,-117.0064,ferry,no,
42.3934,-122.3195,slipway,no,Fish Lake Boat Ramp
44.3655,-121.9905,slipway,no,
45.477,-120.4688,slipway,no,J.S. Burres Boat Ramp
45.8432,-119.7116,marina,no,Boardman Marina
44.9834,-122.7444,slipway,no,
43.3311,-124.3695,fishing,no,Fish Cleaning
45.7218,-121.5706,slipway,no,
44.5463,-118.9147,slipway,no,Magone Lake Boat Launch
45.0406,-123.9935,slipway,no,
45.5039,-122.6642,slipway,no,
43.3041,-122.5264,slipway,no,
45.3587,-122.6117,fishing,no,
43.5624,-121.9643,slipway,no,
44.1153,-123.2802,slipway,no,
45.9296,-119.3525,slipway,no,
44.959,-118.2294,slipway,no,Anthony Lake Boat Launch
45.2862,-117.2142,slipway,no,
42.6325,-124.0491,slipway,no,
42.6504,-123.5858,slipway,no,Grave Creek Boat Ramp
42.6063,-123.5794,slipway,no,Almeda Park Ramp
